A,B,Expected_Product,Predicted_Product,L6_g6,L6_p6,L6_g5,L6_p5,L6_g4,L6_p4,L6_g3,L6_p3,L6_g2,L8_7
2,9,18,18,0,0,0,0,0,1,0,0,0,0
2,10,20,20,0,0,0,0,0,1,0,0,0,0
2,11,22,22,0,0,0,0,0,1,0,0,0,0
2,12,24,24,0,0,0,0,0,1,0,1,0,0
2,13,26,26,0,0,0,0,0,1,0,1,0,0
2,14,28,28,0,0,0,0,0,1,0,1,0,0
2,15,30,30,0,0,0,0,0,1,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,3,3,0,0,0,0,0,0,0,0,0,0
3,2,6,6,0,0,0,0,0,0,0,0,0,0
3,3,9,9,0,0,0,0,0,0,0,0,1,0
3,4,12,12,0,0,0,0,0,0,0,1,0,0
3,5,15,15,0,0,0,0,0,0,0,1,0,0
3,6,18,18,0,0,0,0,0,0,1,0,0,0
3,7,21,21,0,0,0,0,0,0,1,0,0,0
3,8,24,24,0,0,0,0,0,1,0,1,0,0
3,9,27,27,0,0,0,0,0,1,0,1,0,0
3,10,30,30,0,0,0,0,0,1,0,1,0,0
3,11,33,33,0,0,0,0,0,1,0,1,1,0
3,12,36,36,0,0,0,0,1,0,0,0,0,0
3,13,39,39,0,0,0,0,1,0,0,0,0,0
3,14,42,42,0,0,0,0,1,0,0,1,0,0
3,15,45,45,0,0,0,0,1,0,0,1,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,4,4,0,0,0,0,0,0,0,0,0,0
4,2,8,8,0,0,0,0,0,0,0,1,0,0
4,3,12,12,0,0,0,0,0,0,0,1,0,0
4,4,16,16,0,0,0,0,0,1,0,0,0,0
4,5,20,20,0,0,0,0,0,1,0,0,0,0
4,6,24,24,0,0,0,0,0,1,0,1,0,0
4,7,28,28,0,0,0,0,0,1,0,1,0,0
4,8,32,32,0,0,0,1,0,0,0,0,0,0
4,9,36,36,0,0,0,1,0,0,0,0,0,0
4,10,40,40,0,0,0,1,0,0,0,1,0,0
4,11,44,44,0,0,0,1,0,0,0,1,0,0
4,12,48,48,0,0,0,1,0,1,0,0,0,0
4,13,52,52,0,0,0,1,0,1,0,0,0,0
4,14,56,56,0,0,0,1,0,1,0,1,0,0
4,15,60,60,0,0,0,1,0,1,0,1,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,5,5,0,0,0,0,0,0,0,0,0,0
5,2,10,10,0,0,0,0,0,0,0,1,0,0
5,3,15,15,0,0,0,0,0,0,0,1,0,0
5,4,20,20,0,0,0,0,0,1,0,0,0,0
5,5,25,25,0,0,0,0,0,1,0,1,0,0
5,6,30,30,0,0,0,0,0,1,0,1,0,0
5,7,35,35,0,0,0,0,0,1,1,0,0,0
5,8,40,40,0,0,0,1,0,0,0,1,0,0
5,9,45,45,0,0,0,1,0,0,0,1,0,0
5,10,50,50,0,0,0,1,0,1,0,0,0,0
5,11,55,55,0,0,0,1,0,1,0,0,0,0
5,12,60,60,0,0,0,1,0,1,0,1,0,0
5,13,65,65,0,0,0,1,0,1,1,0,0,0
5,14,70,70,0,0,0,1,1,0,0,0,0,0
5,15,75,75,0,0,0,1,1,0,0,1,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,6,6,0,0,0,0,0,0,0,0,0,0
6,2,12,12,0,0,0,0,0,0,0,1,0,0
6,3,18,18,0,0,0,0,0,0,1,0,0,0
6,4,24,24,0,0,0,0,0,1,0,1,0,0
6,5,30,30,0,0,0,0,0,1,0,1,0,0
6,6,36,36,0,0,0,0,1,0,0,0,0,0
6,7,42,42,0,0,0,0,1,0,0,1,0,0
6,8,48,48,0,0,0,1,0,1,0,0,0,0
6,9,54,54,0,0,0,1,0,1,0,0,0,0
6,10,60,60,0,0,0,1,0,1,0,1,0,0
6,11,66,66,0,0,0,1,0,1,1,0,0,0
6,12,72,72,0,0,1,0,0,0,0,1,0,0
6,13,78,78,0,0,1,0,0,0,0,1,0,0
6,14,84,84,0,0,1,0,0,1,0,0,0,0
6,15,90,90,0,0,1,0,0,1,0,1,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,7,7,0,0,0,0,0,0,0,0,0,0
7,2,14,14,0,0,0,0,0,0,0,1,0,0
7,3,21,21,0,0,0,0,0,0,1,0,0,0
7,4,28,28,0,0,0,0,0,1,0,1,0,0
7,5,35,35,0,0,0,0,0,1,1,0,0,0
7,6,42,42,0,0,0,0,1,0,0,1,0,0
7,7,49,49,0,0,0,0,1,0,0,1,1,0
7,8,56,56,0,0,0,1,0,1,0,1,0,0
7,9,63,63,0,0,0,1,0,1,0,1,0,0
7,10,70,70,0,0,0,1,1,0,0,0,0,0
7,11,77,77,0,0,0,1,1,0,0,1,0,0
7,12,84,84,0,0,1,0,0,1,0,0,0,0
7,13,91,91,0,0,1,0,0,1,0,1,0,0
7,14,98,98,0,0,1,0,0,1,1,0,0,0
7,15,105,105,0,0,1,0,0,1,1,0,1,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,8,8,0,0,0,0,0,0,0,1,0,0
8,2,16,16,0,0,0,0,0,1,0,0,0,0
8,3,24,24,0,0,0,0,0,1,0,1,0,0
8,4,32,32,0,0,0,1,0,0,0,0,0,0
8,5,40,40,0,0,0,1,0,0,0,1,0,0
8,6,48,48,0,0,0,1,0,1,0,0,0,0
8,7,56,56,0,0,0,1,0,1,0,1,0,0
8,8,64,64,0,1,0,0,0,0,0,0,0,0
8,9,72,72,0,1,0,0,0,0,0,1,0,0
8,10,80,80,0,1,0,0,0,1,0,0,0,0
8,11,88,88,0,1,0,0,0,1,0,1,0,0
8,12,96,96,0,1,0,1,0,0,0,0,0,0
8,13,104,104,0,1,0,1,0,0,0,1,0,0
8,14,112,112,0,1,0,1,0,1,0,0,0,0
8,15,120,120,0,1,0,1,0,1,0,1,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,9,9,0,0,0,0,0,0,0,1,0,0
9,2,18,18,0,0,0,0,0,1,0,0,0,0
9,3,27,27,0,0,0,0,0,1,0,1,0,0
9,4,36,36,0,0,0,1,0,0,0,0,0,0
9,5,45,45,0,0,0,1,0,0,0,1,0,0
9,6,54,54,0,0,0,1,0,1,0,0,0,0
9,7,63,63,0,0,0,1,0,1,0,1,0,0
9,8,72,72,0,1,0,0,0,0,0,1,0,0
9,9,81,81,0,1,0,0,0,1,0,0,0,0
9,10,90,90,0,1,0,0,0,1,0,1,0,0
9,11,99,99,0,1,0,0,1,0,0,0,0,0
9,12,108,108,0,1,0,1,0,0,0,1,0,0
9,13,117,117,0,1,0,1,0,1,0,0,0,0
9,14,126,126,0,1,0,1,0,1,0,1,0,0
9,15,135,135,0,1,0,1,1,0,0,0,0,1
10,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,10,10,0,0,0,0,0,0,0,1,0,0
10,2,20,20,0,0,0,0,0,1,0,0,0,0
10,3,30,30,0,0,0,0,0,1,0,1,0,0
10,4,40,40,0,0,0,1,0,0,0,1,0,0
10,5,50,50,0,0,0,1,0,1,0,0,0,0
